,title,date,company,location,salary,description
19,Senior Solution Designer / Data Scientist,4d ago,Launch Recruitment Pty Ltd,Sydney,Salary: up to $1100 p/d (incl super),Top tier Telco is looking for an experienced Solution Designer / Data Scientist to join the Automation & Integration team.
20,Data Scientist,4d ago,Infinite Consulting Pty Ltd,ACT,,Data Scientist req. contribute to improving reporting outcomes through innovative thinking and implementing best practice BI outcomes
21,Senior Data Scientist,3d ago,Bupa,Melbourne,,Bupa's Health Insurance is seeking an innovative and enthusiastic Senior Data Scientist in the newly formed Provider Data Science team
22,Data Scientist,4d ago,Experis,ACT,,Exciting contract role | Federal Government | EL1 equivalent | Mid March 2022 start | Baseline Clearance | Canberra based + remote work
23,Software Engineer - Machine Learning,,SEEK Limited,Sydney,Salary: Base + Super + Profit Share,Join us and see why we've been recognized as the Best Place to Work Overall and the #1 Best Place to Work - Tech Industry!
24,Software Engineer - Machine Learning,,SEEK Limited,Sydney,Salary: Base + Super + Profit Share,Join us and see why we've been recognized as the Best Place to Work Overall and the #1 Best Place to Work - Tech Industry!
25,Software Engineer - Machine Learning,,SEEK Limited,Sydney,Salary: Base + Super + Profit Share,Join us and see why we've been recognized as the Best Place to Work Overall and the #1 Best Place to Work - Tech Industry!
26,Software Engineer - Machine Learning,,SEEK Limited,Sydney,Salary: Base + Super + Profit Share,Join us and see why we've been recognized as the Best Place to Work Overall and the #1 Best Place to Work - Tech Industry!
27,Software Engineer - Machine Learning,,SEEK Limited,Melbourne,Salary: Base + Super + Profit Share,Join us and see why we've been recognized as the Best Place to Work Overall and the #1 Best Place to Work - Tech Industry!
28,Software Engineer - Machine Learning,,SEEK Limited,Melbourne,Salary: Base + Super + Profit Share,Join us and see why we've been recognized as the Best Place to Work Overall and the #1 Best Place to Work - Tech Industry!
29,Junior Data Scientist,13d ago,Finity Consulting,Sydney,,This truly innovative role presents a unique career opportunity for an experienced data analytics professional. Be part of something new and fresh
30,Data Engineer/Data Scientist,4d ago,PREDICT AUSTRALIA PTY LTD,Adelaide,,"Are you skilled, driven and looking for a challenge? This role is an exciting opportunity to share in the growth of a global brand in Australia."
31,Junior Data Engineer,3d ago,HotDoc,Melbourne,,You will learn about the infrastructure that drives insight and innovation at HotDoc.
32,HCM Claims Integrity Data Science Lead,3d ago,Bupa,Melbourne,,Bupa's Health Care Management team is seeking an innovative and enthusiastic leader to fill the role of Claims Integrity Data Science Lead.
33,Data Scientist - Cognos,5d ago,Ignite,ACT,Salary: Competitive,EL1 Data Scientist - Cognos     Canberra location   Security clearance required Short term contract      The  Data Scientist Specified Personnel
34,Data Scientist,3d ago,Compas Pty Ltd,ACT,,Exciting new opportunity with a large Federal Government Department. APPLY NOW!
35,Data Scientist,7d ago,Osborne Richardson,Sydney,,A challenging role for an experienced data scientist
36,Data Scientist / Modeller,11d ago,NOW FINANCE,Melbourne,,Build on your data career within a leading consumer fintech. The focus – to progress our machine learning and advanced modeling capabilities.
37,Senior Data Scientist - established DS capability,4d ago,Talent Insights Group Pty Ltd,Sydney,,Hone your skills and enable others in this Centre of Excellence
38,Principal Data Scientist - Product Analytics,11d ago,Xero,Melbourne,,Contribute your advanced data science skills to Xero's highly valued and fast growing Ecosystem Analytics function!
39,Data Scientist (Analysis Stream),12d ago,Australian Red Cross Lifeblood,Melbourne,Salary: salary packaging benefits available,Permanent full time role. Melbourne location with WFH flex. Salary packaging. Utilise data to help Lifeblood best approach business problems.
40,Senior Data Scientist,6d ago,Toyota Finance Australia,Sydney,,Toyota Finance Australia has an opportunity for an experienced Senior Data Scientist join our department.
41,Data Scientist | APS6/EL1,6d ago,Beaumont&Beaumont,ACT,,Data Scientist to work within a Commonwealth Government Department
42,Data Scientist,12d ago,Macquarie Group Limited,Sydney,,Join our Risk Technology team as a Data Scientist in the Surveillance and Financial Crime Risk area
43,Data Scientist | Closes 31 Jan | Citizenship required,6d ago,Continuum Recruitment,ACT,Salary: Open to Quote (Sydney or Canberra Location),Build  advanced predictive and prescriptive analytical products.working from design  to production and present findings to execs at Federal Agency
44,Data Scientist,11d ago,Finite IT Recruitment Solutions,Perth,Salary: Competitive Package,"We are currently recruiting for a Data Scientist to work with a leading cloud services and business solution provider based in Perth, WA."
45,Data Scientist - Commercial Analytics,11d ago,Carlton United Breweries,Melbourne,,Carlton United Breweries are on the search for a Data Scientist to partner with our Commercial teams to provide valuable insights - show us your magic
46,Data Scientist - Commercial Analytics,11d ago,Carlton United Breweries,Melbourne,,Carlton United Breweries are on the search for a Data Scientist to partner with our Commercial teams to provide valuable insights - show us your magic
47,HCM Provider Data Science Lead,3d ago,Bupa,Melbourne,,Bupa Health Insurance is looking for a Provider Data Science Lead with strong people skills and experience across healthcare coding.
48,Senior Data Scientist,8d ago,Cleanaway Operations Pty Ltd,Melbourne,Salary: A leader in sustainability and renewable resources,"ASX100 iconic brand in its D&A journey - Lead Cleanaways next generation Advanced Analytics, AI and ML solutions."
49,Data Scientist,4d ago,FinXL IT Professional Services,ACT,,Looking to engage multiple Data Scientists to develop and deliver processes and models to support intelligence or other departmental business activity
50,Engineer (Knowledge Graph),,SEEK Limited,Sydney,Salary: Base + Super + Profit Share,Join us and see why we've been recognized as the Best Place to Work Overall and the #1 Best Place to Work - Tech Industry!
51,Engineer (Knowledge Graph),,SEEK Limited,Sydney,Salary: Base + Super + Profit Share,Join us and see why we've been recognized as the Best Place to Work Overall and the #1 Best Place to Work - Tech Industry!
52,Multiple Data Analysts (APS5),4d ago,Australian Bureau of Statistics,Brisbane,"Salary: $75,200 to $84,468 plus 15.4% super","Seeking Data Analysts with conceptual, analytical, and creative skills."
53,Multiple Data Analysts (APS5),4d ago,Australian Bureau of Statistics,Brisbane,"Salary: $75,200 to $84,468 plus 15.4% super","Seeking Data Analysts with conceptual, analytical, and creative skills."
54,Multiple Data Analysts (APS5),4d ago,Australian Bureau of Statistics,Brisbane,"Salary: $75,200 to $84,468 plus 15.4% super","Seeking Data Analysts with conceptual, analytical, and creative skills."
55,Multiple Data Analysts (APS5),4d ago,Australian Bureau of Statistics,Brisbane,"Salary: $75,200 to $84,468 plus 15.4% super","Seeking Data Analysts with conceptual, analytical, and creative skills."
56,Data Scientist,12d ago,Hays Technology,Sydney,Salary: Negotiable depending on experience,"Leading retail giant, looking to recruit a Data Scientist to join their team on a permanent basis."
57,Data Scientist - Multiple Roles,11d ago,Ethos BeathChapman,Sydney,Salary: $125000 - $160000 per annum,Join a well established team working on ML/AI solutions for critical business problems
58,Mid-Level Data Scientist,11d ago,The Yield,Sydney,,"The focus of this role is to take ownership of our weather prediction models and to work with the team to improve, transform and extend these models."
59,Machine Learning Engineer,7d ago,Aurec,Sydney,Salary: 600-800 p.d.,Develop new AI applications that provides cutting edge Data Science capability!
60,Data Scientist,14d ago,Shell Australia Pty Ltd,Brisbane,,This is a great opportunity to join Shell!
61,Data Scientist - PMO,11d ago,Downer EDI Services Pty Ltd,Melbourne,"Salary: Competitive salary, flexible working available",Suited to a senior consulting Data Scientist / Business Analyst looking to apply their expertise to a new and exciting Defence engagement.
62,Data Scientist,13d ago,Qantas Airways Ltd,Sydney,,The Data Scientist will leverage Qantas’ data assets using statistics and techniques to find valuable connections and turn them into actionable info.
63,"Machine Learning, data scientist",18d ago,360 App Inc,Melbourne,Salary: $50 - $74.99 per hour,"Remote role, casual (part time) data scientist for a fast growing social media network backed by some of Australia’s largest companies"
64,Data Scientist,13d ago,Elula,Sydney,,Deliver commercial value by developing and deploying production-level machine learning and optimisation models.
65,Multiple Data Analysts (APS5),4d ago,Australian Bureau of Statistics,Adelaide,"Salary: $75,200 to $84,468 plus 15.4% super","Seeking Data Analysts with conceptual, analytical, and creative skills."
66,Multiple Data Analysts (APS5),4d ago,Australian Bureau of Statistics,Adelaide,"Salary: $75,200 to $84,468 plus 15.4% super","Seeking Data Analysts with conceptual, analytical, and creative skills."
67,Multiple Data Analysts (APS5),4d ago,Australian Bureau of Statistics,Adelaide,"Salary: $75,200 to $84,468 plus 15.4% super","Seeking Data Analysts with conceptual, analytical, and creative skills."
68,Multiple Data Analysts (APS5),4d ago,Australian Bureau of Statistics,Adelaide,"Salary: $75,200 to $84,468 plus 15.4% super","Seeking Data Analysts with conceptual, analytical, and creative skills."
69,Multiple Data Analysts (APS5),4d ago,Australian Bureau of Statistics,Perth,"Salary: $75,200 to $84,468 plus 15.4% super","Seeking Data Analysts with conceptual, analytical, and creative skills."
70,Multiple Data Analysts (APS5),4d ago,Australian Bureau of Statistics,Perth,"Salary: $75,200 to $84,468 plus 15.4% super","Seeking Data Analysts with conceptual, analytical, and creative skills."
71,Multiple Data Analysts (APS5),4d ago,Australian Bureau of Statistics,Perth,"Salary: $75,200 to $84,468 plus 15.4% super","Seeking Data Analysts with conceptual, analytical, and creative skills."
72,Multiple Data Analysts (APS5),4d ago,Australian Bureau of Statistics,Perth,"Salary: $75,200 to $84,468 plus 15.4% super","Seeking Data Analysts with conceptual, analytical, and creative skills."
73,Multiple Data Analysts (APS5),4d ago,Australian Bureau of Statistics,Hobart,"Salary: $75,200 to $84,468 plus 15.4% super","Seeking Data Analysts with conceptual, analytical, and creative skills."
74,Multiple Data Analysts (APS5),4d ago,Australian Bureau of Statistics,Hobart,"Salary: $75,200 to $84,468 plus 15.4% super","Seeking Data Analysts with conceptual, analytical, and creative skills."
75,Multiple Data Analysts (APS5),4d ago,Australian Bureau of Statistics,Hobart,"Salary: $75,200 to $84,468 plus 15.4% super","Seeking Data Analysts with conceptual, analytical, and creative skills."
76,Multiple Data Analysts (APS5),4d ago,Australian Bureau of Statistics,Hobart,"Salary: $75,200 to $84,468 plus 15.4% super","Seeking Data Analysts with conceptual, analytical, and creative skills."
77,Data Scientist Engineer,13d ago,Hello Molly Pty Ltd,Sydney,,One of Australia's fastest growing eCom stores is looking for a talented Data Scientist to join our growing team!
78,Data Engineer,19h ago,Paxus,Sydney,,Be a part of dynamic and collaborative team of data engineers to work on GCP Cloud environment.
79,Machine Learning Engineer,7d ago,TheDriveGroup,Sydney,,Join a market-leading Aussie Company's Data Science/Machine Learning practice and watch your career go from strength to strength.
80,Multiple Data Scientists,7d ago,Recruitment Hive,ACT,Salary: $110-$140/hr inc Super-All Client Fees Disclosed,Help deploy analytical solutions within Federal Government.
81,Data Scientist - PMO,11d ago,Downer EDI Services Pty Ltd,ACT,"Salary: Competitive salary, flexible working available",Suited to a senior consulting Data Scientist / Business Analyst looking to apply their expertise to a new and exciting Defence engagement.
82,Data Scientist,18d ago,News Corp Australia,Sydney,,Enhance News Connets products by building machine learning models to predict audience intent and campaign effectiveness.
83,Corporate Data and Analytics Leader,,SEEK Limited,Melbourne,,Join us and see why we've been recognized as the Best Place to Work Overall and the #1 Best Place to Work - Tech Industry!
84,Corporate Data and Analytics Leader,,SEEK Limited,Melbourne,,Join us and see why we've been recognized as the Best Place to Work Overall and the #1 Best Place to Work - Tech Industry!
85,Corporate Data and Analytics Leader,,SEEK Limited,Melbourne,,Join us and see why we've been recognized as the Best Place to Work Overall and the #1 Best Place to Work - Tech Industry!
86,Corporate Data and Analytics Leader,,SEEK Limited,Melbourne,,Join us and see why we've been recognized as the Best Place to Work Overall and the #1 Best Place to Work - Tech Industry!
87,Research and UX Designer - Data & Analytics Space - Healthcare Apps,,The Onset,Sydney,Salary: Upto $150K + super,So its a new year! Time for a change? Remote work opportunities exist for the best Research and UX Designers out there. Apply now!
88,Multiple Data Analysts (APS5),4d ago,Australian Bureau of Statistics,Sydney,"Salary: $75,200 to $84,468 plus 15.4% super","Seeking Data Analysts with conceptual, analytical, and creative skills."
89,Multiple Data Analysts (APS5),4d ago,Australian Bureau of Statistics,Sydney,"Salary: $75,200 to $84,468 plus 15.4% super","Seeking Data Analysts with conceptual, analytical, and creative skills."
90,Multiple Data Analysts (APS5),4d ago,Australian Bureau of Statistics,Sydney,"Salary: $75,200 to $84,468 plus 15.4% super","Seeking Data Analysts with conceptual, analytical, and creative skills."
91,Multiple Data Analysts (APS5),4d ago,Australian Bureau of Statistics,Sydney,"Salary: $75,200 to $84,468 plus 15.4% super","Seeking Data Analysts with conceptual, analytical, and creative skills."
92,Data Engineer,8h ago,Bunnings Limited,Melbourne,,"The expansion of our Data & Analytics' Team continues. 

Opportunity for professional growth and ability to make an impact. 

Be part of our journey."
93,Data Scientist,14d ago,Intelligen Pty Ltd,Sydney,Salary: WFH flexibility,"Work with one of the best Data Science teams in Australia
Flexible working conditions
Exposure to true BIG data"
94,Data Scientist,17d ago,Attribute Group,Brisbane,,"An Australian leading business are expanding their data team, working with next generation technologies"
95,Data Engineer,4d ago,Assetlink,Sydney,,Design and develop data product functionality to elevate AssetFuture’s data capability.12 month contract; Flexible working possible.
96,Data Scientist,19d ago,Mansell Taylor Consulting,Brisbane,,"Start 2022 with an exceptionally talented team where you will provide insights through data science, machine learning and statistical analysis."
97,Data Engineer,3h ago,Servian Pty Ltd,Brisbane,,We're looking for Data Analytics professionals across all levels to join our Brisbane team.
98,Data Engineer,4d ago,WithYouWithMe,ACT,"Salary: $100,000 - $119,999",Come and join one of the countries fastest growing tech companies - lead a team of Junior Data Engineers
99,Data Scientist,19d ago,Entain Group PTY LTD,Brisbane,,Develop end-to-end data science &amp; Machine Learning solutions that will be applied across the entire business
100,Multiple Data Analysts (APS5),4d ago,Australian Bureau of Statistics,ACT,"Salary: $75,200 to $84,468 plus 15.4% super","Seeking Data Analysts with conceptual, analytical, and creative skills."
101,Multiple Data Analysts (APS5),4d ago,Australian Bureau of Statistics,ACT,"Salary: $75,200 to $84,468 plus 15.4% super","Seeking Data Analysts with conceptual, analytical, and creative skills."
102,Multiple Data Analysts (APS5),4d ago,Australian Bureau of Statistics,ACT,"Salary: $75,200 to $84,468 plus 15.4% super","Seeking Data Analysts with conceptual, analytical, and creative skills."
103,Multiple Data Analysts (APS5),4d ago,Australian Bureau of Statistics,ACT,"Salary: $75,200 to $84,468 plus 15.4% super","Seeking Data Analysts with conceptual, analytical, and creative skills."
104,Software Engineer - Machine Learning,3d ago,SEEK Limited,Sydney,Salary: Base + Super + Profit Share,Join us and see why we've been recognized as the Best Place to Work Overall and the #1 Best Place to Work - Tech Industry!
105,Multiple Data Analysts (APS5),4d ago,Australian Bureau of Statistics,Melbourne,"Salary: $75,200 to $84,468 plus 15.4% super","Seeking Data Analysts with conceptual, analytical, and creative skills."
106,Multiple Data Analysts (APS5),4d ago,Australian Bureau of Statistics,Melbourne,"Salary: $75,200 to $84,468 plus 15.4% super","Seeking Data Analysts with conceptual, analytical, and creative skills."
107,Multiple Data Analysts (APS5),4d ago,Australian Bureau of Statistics,Melbourne,"Salary: $75,200 to $84,468 plus 15.4% super","Seeking Data Analysts with conceptual, analytical, and creative skills."
108,Multiple Data Analysts (APS5),4d ago,Australian Bureau of Statistics,Melbourne,"Salary: $75,200 to $84,468 plus 15.4% super","Seeking Data Analysts with conceptual, analytical, and creative skills."
109,Data Engineer,2d ago,Rubix Solutions Pty Ltd,Melbourne,,Our established client has a number of permanent opportunities for experienced Data Engineers  in Melbourne & Sydney.
110,Artificial Intelligence and Data Engineer,3d ago,SustainAbility Consulting,Sydney,Salary: Up to $150K + Super,We have partnered with a well known Australian market leader who are looking for an experienced Data Engineer to join their team
111,Full Stack Engineer/Data Scientist Hybrid role,12d ago,inDmand Career Solutions,Melbourne,,High profile start-up are looking for high calibre Software Engineers/Data Scientists to join one of the most innovative company's in Australia.
112,Predictive Analytics Consultant Role – AI,4d ago,Opus Recruitment Solutions,London,Salary: Â£500 - Â£800 per day,Predictive Analytics Consultant Role – AI   I currently looking for a Lead Consultant to join our Artificial Intelligence (AI) team in London (
113,Data Engineer,4d ago,Virgin Australia,Brisbane,Salary: Competitive package plus fantastic company benefit,"To succeed, you will be flexible in your approach, be able to prioritise and handle the dynamic changes of the industry and build sustainable business"
114,Software Engineer - Machine Learning,3d ago,SEEK Limited,Melbourne,Salary: Base + Super + Profit Share,Join us and see why we've been recognized as the Best Place to Work Overall and the #1 Best Place to Work - Tech Industry!
115,Full Stack Engineer/Data Scientist Hybrid role,12d ago,inDmand Career Solutions,Sydney,,High profile start-up are looking for high calibre Software Engineers/Data Scientists to join one of the most innovative company's in Australia.
116,Data Scientist,17d ago,Evergen,Sydney,,Help us on a mission to kill a coal-fired power station in 10 countries by 2023! 👏
117,Principal Engineer (Knowledge Graph),,SEEK Limited,Melbourne,Salary: Base + Super + Profit Share,Join us and see why we've been recognized as the Best Place to Work Overall and the #1 Best Place to Work - Tech Industry!
118,Data Scientist - Immediate Start 6 Month Contract! Global Tech Software Giant!,19d ago,Talent Insights Group Pty Ltd,Sydney,Salary: Attractive Daily Rate! $700-$900 per day,"Immediate Data Scientist Contract - Global Brand with big data and 10M monthly users! Great Talent, Exciting Work! Top Daily Rate! Remote-Friendly!"
119,Data Engineer,6d ago,Central Highlands Water,Ballarat & Central Highlands,,Is 2022 your year to take on a challenge and to make a difference? Learn more about our newly created Data Engineer opportunity.
120,Data Engineer,6d ago,Central Highlands Water,Ballarat & Central Highlands,,Is 2022 your year to take on a challenge and to make a difference? Learn more about our newly created Data Engineer opportunity.
121,Data Engineer,4d ago,Netwealth Investments Limited,Melbourne,,An  opportunity for a Data Engineer to join our Team! Excited by the prospect of optimizing or even redesigning data architecture to support our next
122,Data Engineer,4d ago,Suncorp,Brisbane,Salary: Great salary and benetits,Do not miss this exciting opportunity to utilise your data experience and work with a friendly and collaborative team.
123,Senior Data & Analytics Consultant,3d ago,Troocoo,Brisbane,"Salary: $155,000 + super + commission","Bring your Data & Analytical brain to a highly regarded, innovative technology solutions organisation in a permanent Senior Consultant role."
124,Multiple Data Scientists,6d ago,Compas Pty Ltd,ACT,,Multiple Data Scientists required to join a large Federal Government Department on a long term contract!
125,Data Scientist,17d ago,Global Kinetics Pty Ltd,Melbourne,,Seeking an agile Data Scientist who is open to exploring and translating new technological ideas that contribute to our intellectual property.
126,Data Engineer - Expressions Of Interest,4d ago,Wesfarmers,Melbourne,,"The Wesfarmers Advanced Analytics Centre (AAC) is looking for an outcome focused Data Engineer to work alongside our talented Data Scientists, Enginee"
127,Data Engineer,6d ago,The University of Queensland,Brisbane,Salary: $88763.1 - $96783.7 p.a. + super of up to 17%,"The role will enable the development of processes and pipelines to harmonise, aggregate and share fuel load parameter data layers."
128,Data Engineer,6d ago,The University of Queensland,Brisbane,Salary: $88763.1 - $96783.7 p.a. + super of up to 17%,"The role will enable the development of processes and pipelines to harmonise, aggregate and share fuel load parameter data layers."
129,Data Scientist,20d ago,Hays Technology,Sydney,,Global Financial Services provider requires a Data Scientist to analyse large datasets utilising AI and ML
130,Data Engineer,3d ago,HotDoc,Melbourne,,Own the infrastructure that drives insight and innovation at HotDoc.
131,Data Scientist,17d ago,Coles,Melbourne,,You will be involved in the research of new techniques in Advanced Analytics and identify new opportunities for future solutions
132,Data Scientist,20d ago,AustralianSuper,Melbourne,,"An exciting permanent opportunity to join the Strategy, Reputation and Corporate Affairs team"
133,Data Science Analyst,5h ago,Talent Insights Group Pty Ltd,Brisbane,,Short term contract for very experienced Python performer within a life insurance environment.
134,Data Scientist,18d ago,Virgin Australia,Sydney,,We are looking for 2 Data Scientists who will join an award-winning and fast growing team and take one of ‘Australia’s most loved loyalty programs’ to
135,Data Scientist,18d ago,Talentpool Recruitment Group,Sydney,,This position is working on solving real world problems and delivering outcomes that truly have an impact on society as we see it today!
136,Senior Consultant - Data & Analytics,4d ago,NTT Ltd,Brisbane,,Design and implement complex data and information management platforms. Permanent role based in QLD
137,Data Engineer,6d ago,Great Southern Bank,Brisbane,Salary: Salary + Super + WFH,"Design, create and modify programs in this Data Engineer role, working as part of Great Southern Bank's Data Team."
138,Automation Engineers-Perth,,Planit Test Management Solutions,Perth,Salary: Flexible working + well being benefits,Planit has new opportunities in our Perth team for test analysts and engineers through to senior test Engineers.
139,Data Engineer,4d ago,Peoplebank Australia NSW,Sydney,,Experienced Data Engineer to play a key role in a newly formed squad on a data Platform Rebuild Project
140,Director - Data Analytics & AI,7d ago,Opus Recruitment Solutions,Melbourne,"Salary: $200000 - $250000 per annum, Huge opportunity!",Huge opportunity to grow your career to the next level
141,Senior Machine Learning Developer,6h ago,WooliesX,Sydney,,Senior Machine Learning Developer - Woolies X
142,Machine Learning Engineer,12d ago,Elula,Sydney,,Join a fast paced artificial intelligence and machine learning start up. We provide our clients with game changing software as a service.
143,Lead Data Scientist,12d ago,TheDriveGroup,Sydney,,Exciting opportunity for a Lead data Scientist to continue to grow your skillset in both leadership and personalisation.
144,Data Engineer,3d ago,Humanised Group,Melbourne,Salary: $750 - $1000 inc. super per day,An Australian-wide business in the financial sector is seeking to hire a Azure Data Engineer on a short term contract.
145,Data Engineer (AWS),28m ago,Halcyon Knights Pty Ltd,Melbourne,,Looking for a Data Engineer experienced on AWS to assist with data pipelines and Data DevOps
146,Data Engineer - Insights,3d ago,Coles,Melbourne,,Data Engineer – Insights will design and govern the reporting solutions in Snowflake as well as deploying and debugging cloud initiatives
147,Data Engineer,7d ago,Robert Walters,Melbourne,"Salary: $140k - $158k p.a. + bonus, discounts.",Great opportunity for a Data Engineer to be apart of a transformation journey and a thriving team!
148,Data Scientist - Global Finance Company,19d ago,Bluefin Resources Pty Limited,Sydney,Salary: $150k - $165k p.a. + plus super,"Data Scientist - Global Finance Company  
End to end role within Advanced Analytics with focus on ML techniques"
149,Lead Data Engineer & Analytics Platforms,7d ago,Talent – SEEK Recruitment Agency of the Year | 7 Time Winner,Melbourne,,"Use your leadership capability, coupled with strong technical ability in Data Engineering, to lead a complex Network Analytics domain."
150,Data Consultant,3d ago,Aurecon,Sydney,,We are looking for a dynamic Data Consultant to bring data engineering experience and BI knowledge to help us 'bring ideas to life.'
151,Data Engineer,3d ago,Milestone Information Technology,Melbourne,,"Our client, a market leading blue chip, have an exciting opportunity for a Data Engineer to join their team. This Data Engineer role is part of the..."
152,Data & Analytics Consultant,3d ago,GLASS and Co Pty Ltd,Brisbane,,Join our team as a Consultant (Data & Analytics) and be enabled to grow and prosper in your career.
153,Team Lead - Data Engineering,4d ago,Humanised Group,Brisbane,"Salary: $120,000 - $145,000 + super + salary packaging",A not-for-profit organisation is seeking to hire a Data Engineering Team leader to assist them in achieving their data objectives.
154,Data Engineer,3d ago,Hays Technology,ACT,,Data Engineer role with a Government Department for an initial 12-month contract with 2 x 12-month extensions.
155,Data Engineer,3d ago,Eden Ritchie Recruitment,Brisbane,,Eden Ritchie Recruitment are seeking experienced Data Engineer’s to join a large government department.
156,Senior Data Engineer - Machine Learning,10d ago,Jetstar,Melbourne,,"As a Senior Data Engineer you will help design and build cutting-edge machine learning systems across our ""NextGen"" Cloud Data Platform."
157,Data Engineer,4d ago,Talent – SEEK Recruitment Agency of the Year | 7 Time Winner,Melbourne,,Your new role will see you joining a well-established team to work on one of their largest projects within the organisation.
158,Data Engineer,4d ago,Talent – SEEK Recruitment Agency of the Year | 7 Time Winner,Melbourne,,Your new role will see you joining a well-established team to work on one of their largest projects within the organisation.
159,Director - Data Analytics & AI,7d ago,Opus Recruitment Solutions,Melbourne,"Salary: $200000 - $250000 per annum, Benefits: Huge opport",Director of Analytics & AI      Huge opportunity to grow your career to the next level  Established working relationships with some of
160,Data Scientist,,Shell Australia Pty Ltd,Brisbane,,This is a great opportunity to join Shell!
161,Data Scientist,,Shell Australia Pty Ltd,Brisbane,,This is a great opportunity to join Shell!
162,Data Scientist,,Shell Australia Pty Ltd,Brisbane,,This is a great opportunity to join Shell!
163,Junior Data Engineer- Data Pipelines & Warehousing,11d ago,AMP Services Limited,Sydney,Salary: competitive salary + 12% super + bonus,"We are looking for a Junior Data Engineer, ideally with AWS development experience to join the team."
164,Data Analyst ( 12 Month Contract),3d ago,Cancer Council New South Wales,Sydney,,"This is a 12 month full time contract position with flexibility to work from home, the role will work towards managing and analyzing large datasets."
165,Senior Data Scientist - 195k Package - fulltime,20d ago,Correlate Resources,Sydney,"Salary: 155,000 + super + Bonus","Employing the industry's brightest analytical minds, offering a hot bed for innovation and unparalleled opportunities for career development & growth"
166,Data Engineer,3d ago,Sharp & Carter Digital and Technology,Melbourne,,Opportunity to work with as a permanent member of a massive transportation and logistic organisation in data engineering
167,Senior Data Scientist,13d ago,Finity Consulting,Sydney,,Great opportunity to work across the full spectrum of services for banking and finance. Our project-based structure allows us to tailor a role to you
168,Principal Data and Applied Scientist,17d ago,Microsoft,Sydney,Salary: attractive salary + bonus + stock + benefits,Work directly with customers to leverage the latest technologies to address their toughest problems using cloud-based solutions.
169,Data Engineer,7d ago,Talent – SEEK Recruitment Agency of the Year | 7 Time Winner,Sydney,Salary: $900 - $1000 per day,Job description   Data Engineer   Banking / Financial Services CBD Location Day rate contract  Seeking: Multiple Data Engineers to work in a growing
